CodigoDepartamento,NombreDepartamento,CodigoMunicipio,municipio,nombrecomercial,bandera,direccion,producto,precio,estado,fecharegistro,periodo
1,ANTIOQUIA,110,PEÑOL,EDS LA CATEDRAL,ZEUSS,CARRERA 22  G No. 6-06,GASOLINA CORRIENTE OXIGENADA,9811,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
14,LA GUAJIRA,683,SAN JUAN DEL CESAR,ESTACION DE SERVICIO LOS JUBALES,AYATAWACOOP,Cra 6  No. 2S -18,GASOLINA CORRIENTE,7400,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
4,BOLIVAR,214,SAN JUAN NEPOMUCENO,ESTACION DE SERVICIO ANA TERESA,ZEUSS,CALLE 19 No. 2H-93,BIODIESEL EXTRA,8400,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
11,CUNDINAMARCA,524,GIRARDOT,ESTACION DE SERVICIO TERMINAL DE TRANSPORTES DE GIRARDOT,MOBIL,Calle 25 # 12-56/68,GASOLINA EXTRA OXIGENADA,11700,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
17,NARIÑO,762,EL CHARCO,COMBUSTIBLES LA COSTA,TEXACO,VUELTA EL MERO DE EL CHARCO,BIODIESEL EXTRA,7960,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
3,BOGOTA D.C.,182,"BOGOTA, D.C.",ESTACION DE SERVICIO ALDICOM 127,BIOMAX,CARRERA 7 No. 126A-58,GASOLINA CORRIENTE OXIGENADA,9650,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
23,TOLIMA,988,IBAGUE,ESTACION DE SERVICIO FULL  GAS,BIOMAX,Carrera 48 sur No. 83-226,BIODIESEL EXTRA,9080,A,07/04/2019 12:00:00 AM,07/01/2019 12:00:00 AM
24,VALLE DEL CAUCA,1035,CALI,ESTACION DE SERVICIO BRETANA,TERPEL,CALLE 10 No. 15-53,GASOLINA CORRIENTE OXIGENADA,9620,A,07/04/2019 12:00:00 AM,07/01/2019 12:00:00 AM
24,VALLE DEL CAUCA,1035,CALI,ESTACION DE SERVICIO BRETANA,TERPEL,CALLE 10 No. 15-53,BIODIESEL EXTRA,9220,A,07/04/2019 12:00:00 AM,07/01/2019 12:00:00 AM
9,CESAR,457,SAN DIEGO,SERVICENTRO SAN DIEGO,PUMA,SALIDA A CODAZZI,GASOLINA CORRIENTE OXIGENADA,7450,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
22,SUCRE,1408,COVEÑAS,ESTACION DE SERVICIO LOS MANGOS DE COVEÑAS,TERPEL,CALLE 10 No. 10-139 SECTOR ISLA GALLINAZOS PARCELA 223 - 224,GASOLINA EXTRA OXIGENADA,12000,A,07/09/2019 12:00:00 AM,07/01/2019 12:00:00 AM
27,PUTUMAYO,1107,PUERTO CAICEDO,ESTACION DE SERVICIO LA VILLA PTO CAICEDO,TERPEL,BARRIO LA ISLA DE PUERTO CAICEDO,BIODIESEL EXTRA,9200,A,07/29/2019 12:00:00 AM,07/01/2019 12:00:00 AM
21,SANTANDER,932,ONZAGA,ESTACION DE SERVICIO URTIGO,TERPEL,Cra 2 No. 9 predio Impar,BIODIESEL EXTRA,8500,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
3,BOGOTA D.C.,182,"BOGOTA, D.C.",SERVICIOS CONTINENTAL LTDA,MOBIL,AVENIDA CALLE 80 No 90A 17,GASOLINA EXTRA OXIGENADA,12659,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
13,HUILA,635,NEIVA,ESTACION DE SERVICIO FLOTA HUILA,BIOMAX,CALLE 19 SUR No. 10-18,GASOLINA CORRIENTE OXIGENADA,9814,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
