CodigoDepartamento,NombreDepartamento,CodigoMunicipio,municipio,nombrecomercial,bandera,direccion,producto,precio,estado,fecharegistro,periodo
17,NARIÑO,757,CORDOBA,ESTACION DE SERVICIO ARGELIA,TERPEL,CALLE 5 No. 5-81,BIODIESEL EXTRA,7300,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
21,SANTANDER,882,BARRANCABERMEJA,ESTACION DE SERVICIO LA EXCELENCIA,TERPEL,Calle 50 No. 16-02,GASOLINA EXTRA OXIGENADA,11740,A,07/09/2019 12:00:00 AM,07/01/2019 12:00:00 AM
17,NARIÑO,807,SAN ANDRES DE TUMACO,SERVICENTRO EL BOSQUE,BIOMAX,KILOMETRO 68 VIA TUMACO PASTO,BIODIESEL EXTRA,7450,A,07/05/2019 12:00:00 AM,07/01/2019 12:00:00 AM
27,PUTUMAYO,1115,VILLAGARZON,ESTACIÒN DE SERVICIO VILLA DEL RIO,TERPEL,Calle 5 Barrio Villa Monica,BIODIESEL EXTRA,7980,A,07/26/2019 12:00:00 AM,07/01/2019 12:00:00 AM
17,NARIÑO,807,SAN ANDRES DE TUMACO,ESTACION DE SERVICIO LOS HERMANOS No 2,BIOMAX,VEREDA SAN JUAN,BIODIESEL EXTRA,7900,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
23,TOLIMA,1023,RIOBLANCO,ESTACION DE SERVICIO COOTRANSRIO,TERPEL,CARRERA 7A No. 2-02 SUR,BIODIESEL EXTRA,9635,A,07/03/2019 12:00:00 AM,07/01/2019 12:00:00 AM
27,PUTUMAYO,1112,SAN MIGUEL,ESTACION DE SERVICIO SERVITER,TERPEL,BARRIO AMISTAD- LA DORADA,BIODIESEL EXTRA,8000,A,07/05/2019 12:00:00 AM,07/01/2019 12:00:00 AM
15,MAGDALENA,687,SANTA MARTA,ESTACION DE SERVICIO LOS ALMENDROS CRA 19,PUMA,CARRERA 19 No. 9A - 03,BIODIESEL EXTRA,8770,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
11,CUNDINAMARCA,509,COTA,ESTACION DE SERVICIO AUTOMOTRIZ EDS ESSO SIBERIA,MOBIL,KM 4.5 VIA AUTOPISTA MEDELLIN,GASOLINA EXTRA OXIGENADA,12330,A,07/17/2019 12:00:00 AM,07/01/2019 12:00:00 AM
1,ANTIOQUIA,55,CIUDAD BOLIVAR,EDS MULTISERVICIOS LIBARDO RINCON BOLIVAR,MOBIL,CALLE 49 No. 41-35,BIODIESEL EXTRA,9200,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
18,NORTE DE SANTANDER,824,EL ZULIA,ESTACION DE SERVICIO RISARLDA JOSE,COOMULPINORT,KILOMETRO 33 VIA SARDINATA,BIODIESEL EXTRA,6500,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
11,CUNDINAMARCA,578,SUESCA,ESTACION DE SERVICIO AUTOMOTRIZ GUIMAR SUESCA,BIOMAX,CARRERA 4 No. 6-39,GASOLINA CORRIENTE OXIGENADA,9650,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
11,CUNDINAMARCA,578,SUESCA,ESTACION DE SERVICIO AUTOMOTRIZ GUIMAR SUESCA,BIOMAX,CARRERA 4 No. 6-39,BIODIESEL EXTRA,9090,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
11,CUNDINAMARCA,585,TENJO,EDS EL GATO,BIOMAX,KILOMETRO 6.5 VIA SIBERIA - TENJO VEREDA SANTA CRUZ PREDIO LA MAGDALEN,BIODIESEL EXTRA,9068,A,07/24/2019 12:00:00 AM,07/01/2019 12:00:00 AM
33,VICHADA,1145,LA PRIMAVERA,EDS ZULIMA,TERPEL,CARRERA 9 No. 4 - 11,BIODIESEL EXTRA,9200,A,07/20/2019 12:00:00 AM,07/01/2019 12:00:00 AM
1,ANTIOQUIA,80,ENVIGADO,ESTACION DE SERVICIO LA 43 - ENVIGADO,BIOMAX,CARRERA 43A No. 46 SUR-20,GASOLINA EXTRA OXIGENADA,12420,A,07/09/2019 12:00:00 AM,07/01/2019 12:00:00 AM
17,NARIÑO,802,SANTA BARBARA,ESTACION DE SERVICIO EL TESORO,PETROMIL,SECTOR PARTE ALTA DEL PUEBLO,BIODIESEL EXTRA,7917,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
21,SANTANDER,926,MALAGA,ESTACION DE SERVICIO PARADOR BAR MALAGA,TERPEL,CARRERA 9A No. 24-255,BIODIESEL EXTRA,9160,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
17,NARIÑO,807,SAN ANDRES DE TUMACO,MOBIL DEL LITORAL PALMACO,MOBIL,PALMAS DE TUMACO,GASOLINA CORRIENTE OXIGENADA,8120,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
18,NORTE DE SANTANDER,834,OCAÑA,EDS OCAÑA,COOMULPINORT,DIAGONAL 49 No. 06 - 20,GASOLINA CORRIENTE OXIGENADA,7450,A,07/06/2019 12:00:00 AM,07/01/2019 12:00:00 AM
9,CESAR,435,VALLEDUPAR,ESTACION DE SERVICIO SAN JUAN,TERPEL,DIAGONAL 21 No. 18D-66,GASOLINA CORRIENTE OXIGENADA,7490,A,07/22/2019 12:00:00 AM,07/01/2019 12:00:00 AM
14,LA GUAJIRA,675,DIBULLA,ESTACION DE SERVICIO SINAHI DE PALOMINO,AYATAWACOOP,CARRERA 7 CALLE 1 PALOMINO,BIODIESEL EXTRA,6000,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
9,CESAR,435,VALLEDUPAR,ESTACION DE SERVICIO COOTRAUPAR,ECOS,CALLE 21 No. 7A-80 BARRIO LA GRANJA,BIODIESEL EXTRA,7400,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
13,HUILA,639,ALGECIRAS,EDS LA PLUS ALGECIRAS,CASAMOTOR,LOTE No. 2 CARRERA 5 CALLE 3 SUR,BIODIESEL EXTRA,9400,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
5,BOYACA,325,SOGAMOSO,ESTACION DE SERVICIO AUTOMOTRIZ SOL SAN MARTIN,BIOMAX,CARRERA 17 No. 13-11,GASOLINA CORRIENTE OXIGENADA,9549,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
3,BOGOTA D.C.,182,"BOGOTA, D.C.",ESTACION DE SERVICIO ESSO DELICIAS,MOBIL,Autopista Sur No.59 A-50,GASOLINA CORRIENTE OXIGENADA,9249,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
17,NARIÑO,768,GUACHUCAL,ESTACION DE SERVICIO SAN DIEGO GUACHUCAL,BIOMAX,KM. 5  Salida a Ipiales,ACPM - DIESEL,7320,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
1,ANTIOQUIA,34,MEDELLIN,ESTACION DE SERVICIO NUTIBARA,MOBIL,TRANSVERSAL 39B No. 79-41,GASOLINA EXTRA OXIGENADA,12490,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
19,QUINDIO,850,ARMENIA,ESTACION DE SERVICIO ESSO BRASILIA,MOBIL,Carrera 19 No. 43-50,GASOLINA CORRIENTE OXIGENADA,9465,A,07/04/2019 12:00:00 AM,07/01/2019 12:00:00 AM
3,BOGOTA D.C.,182,"BOGOTA, D.C.",ESTACION DE SERVICIO CABRERA,PETROBRAS,Carrera 7 No 83 -33,GASOLINA CORRIENTE OXIGENADA,9890,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
3,BOGOTA D.C.,182,"BOGOTA, D.C.",ESTACION DE SERVICIO CABRERA,PETROBRAS,Carrera 7 No 83 -33,GASOLINA EXTRA OXIGENADA,12990,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
21,SANTANDER,882,BARRANCABERMEJA,ESTACION DE SERVICIO AUTOMOTRIZ MOYA,TERPEL,CALLE 54 No. 19-38,GASOLINA CORRIENTE OXIGENADA,9100,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
24,VALLE DEL CAUCA,1061,PALMIRA,EDS TERPEL PALMIRA,TERPEL,CALLE 42 CARRERA 43 ESQUINA,GASOLINA EXTRA OXIGENADA,11957,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
11,CUNDINAMARCA,509,COTA,EDS  TERPEL LA FLORIDA COTA,TERPEL,VEREDA SIBERIA KILOMETRO 1.5 AUTOPISTA MEDELLIN,BIODIESEL EXTRA,8816,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
5,BOYACA,315,SANTANA,ESTACION DE SERVICIO TERPEL SANTANA,TERPEL,VEREDA SANTA BARBARA,GASOLINA EXTRA OXIGENADA,11880,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
17,NARIÑO,782,MAGUI,ESTACION DE SERVICIO GASOLINERA RANCHO GRANDE,BIOMAX,CALLE PRINCIPAL,ACPM - DIESEL,7620,A,07/04/2019 12:00:00 AM,07/01/2019 12:00:00 AM
21,SANTANDER,901,EL CARMEN DE CHUCURI,ESTACION DE SERVICIO LA PRIMAVERA,TERPEL,CALLE 3 No. 6-10,BIODIESEL EXTRA,8940,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
13,HUILA,635,NEIVA,ESTACION DE SERVICIO EL JARDIN,TERPEL,Carrera 31 # 20 - 13.,BIODIESEL EXTRA,9240,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
26,CASANARE,1084,YOPAL,ESTACION DE SERVICIO ESTACION YOPAL,BIOMAX,TRANSVERSAL 18 No. 8-15,BIODIESEL EXTRA,9401,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
3,BOGOTA D.C.,182,"BOGOTA, D.C.",EDS PETROBRAS LA PALMA,PETROBRAS,CARRERA 68 No. 13-87,GASOLINA EXTRA OXIGENADA,12990,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
9,CESAR,456,SAN ALBERTO,ESTACION DE SERVICIO EL AMARILLO,TERPEL,KILOMETRO 6 VIA AL MAR,GASOLINA CORRIENTE OXIGENADA,9200,A,07/27/2019 12:00:00 AM,07/01/2019 12:00:00 AM
4,BOLIVAR,183,CARTAGENA DE INDIAS,ESTACION DE SERVICIO AUTOMOTRIZ AUTOCENTRO LA ESTACION,TEXACO,AVENIDA PEDRO DE HEREDIA CALLE 31 NO. 46-30 ARMENIA,BIODIESEL EXTRA,9320,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
6,CALDAS,376,VILLAMARIA,ESTACION DE SERVICIO TEXACO PANAMERICANA,TEXACO,KILOMETRO 3 VIA PANAMERICANA,GASOLINA CORRIENTE OXIGENADA,9390,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
6,CALDAS,376,VILLAMARIA,ESTACION DE SERVICIO TEXACO PANAMERICANA,TEXACO,KILOMETRO 3 VIA PANAMERICANA,BIODIESEL EXTRA,9130,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
19,QUINDIO,852,CALARCA,ESTACION DE SERVICIO PALERMO CALARCA,MOBIL,Km. 1 MAS 740 M Variante Calarcá La Cabaña Vereda Buenos Aires Bajo,GASOLINA CORRIENTE OXIGENADA,9723,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
9,CESAR,449,LA JAGUA DE IBIRICO,ESTACION DE SERVICIO AUTOMOTRIZ MARLI,PUMA,DIAGONAL 1 No. 10-34,GASOLINA CORRIENTE OXIGENADA,9290,A,07/26/2019 12:00:00 AM,07/01/2019 12:00:00 AM
20,RISARALDA,869,LA VIRGINIA,ESTACION DE SERVICIO LA VIRGINIA,BIOMAX,CARRERA 8 No. 6-64,BIODIESEL EXTRA,9210,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
4,BOLIVAR,183,CARTAGENA DE INDIAS,EDS PETROMIL PIEDRA DE BOLIVAR,PETROMIL,PIEDRA DE BOLIVAR CALLE 30 No. 47-24 Y 47-06,GASOLINA EXTRA OXIGENADA,12295,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
23,TOLIMA,1016,NATAGAIMA,ESTACION PAKANDE,TERPEL,CARRERA 2 No. 1N-161,BIODIESEL EXTRA,8850,A,07/04/2019 12:00:00 AM,07/01/2019 12:00:00 AM
17,NARIÑO,807,SAN ANDRES DE TUMACO,EDS LA REFORMA NO. 2,PETRDECOL,VEREDA LA REFORMA,BIODIESEL EXTRA,7800,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
17,NARIÑO,807,SAN ANDRES DE TUMACO,ESTACION DE SERVICIO RIO PITAL DE LA COSTA,PETROMIL,VEREDA PITAL DE LA COSTA,ACPM - DIESEL,7900,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
11,CUNDINAMARCA,524,GIRARDOT,ESTACION DE SERVICIO LA 40,TERPEL,CARRERA 10 No. 39-136 BARRIO LA ESMERALDA,GASOLINA CORRIENTE OXIGENADA,9640,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
11,CUNDINAMARCA,524,GIRARDOT,ESTACION DE SERVICIO LA 40,TERPEL,CARRERA 10 No. 39-136 BARRIO LA ESMERALDA,BIODIESEL EXTRA,9180,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
24,VALLE DEL CAUCA,1075,YUMBO,ESSO ACOPI,MOBIL,CALLE 10 Nº 33 -98,GASOLINA CORRIENTE OXIGENADA,9180,A,07/25/2019 12:00:00 AM,07/01/2019 12:00:00 AM
17,NARIÑO,753,BUESACO,ESTACION DE SERVICIO DEL RIO,PETROMIL,KILOMETRO 44 VEREDA HIGUERONES VIA BUESACO,BIODIESEL EXTRA,7360,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
2,ATLANTICO,167,MANATI,ESTACION DE SERVICIOS SAN LUIS,TEXACO,CALLE 7  No. 5C-07,GASOLINA CORRIENTE OXIGENADA,9270,A,07/04/2019 12:00:00 AM,07/01/2019 12:00:00 AM
24,VALLE DEL CAUCA,1041,BUENAVENTURA,ESTACION DE SERVICIO BAHIA,TEXACO,CALLE 6 NO 5 B  -70,GASOLINA CORRIENTE OXIGENADA,8800,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
6,CALDAS,351,MANIZALES,ESTACION DE SERVICIO CENTRAL DE COMBUSTIBLES,TERPEL,Carrera 22 No. 14 - 66,GASOLINA EXTRA OXIGENADA,11950,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
9,CESAR,444,EL COPEY,ESTACION DE SERVICIO SAN JOSE,ECOS,CALLE 3 No. 3-97,GASOLINA CORRIENTE OXIGENADA,8700,A,07/31/2019 12:00:00 AM,07/01/2019 12:00:00 AM
21,SANTANDER,916,GUEPSA,ESTACION DE SERVICIO AUTOMOTRIZ LA MAGDALENA VIA A GUEPSA,TERPEL,KILOMETRO 3 VIA A BARBOSA - GUEPSA,GASOLINA CORRIENTE OXIGENADA,9665,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
8,CAUCA,417,PATIA,SERVICENTRO LA FONDA,PETROMIL,CORREGIMIENTO LA FONDA,GASOLINA CORRIENTE OXIGENADA,9940,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
11,CUNDINAMARCA,490,ALBAN,LUBRICANTES Y COMBUSTIBLES EL TRIANGULO,BIOMAX,VDA LAS MARIAS LT EL TRIANGULO,GASOLINA CORRIENTE OXIGENADA,9525,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
22,SUCRE,963,SINCELEJO,ESTACION DE SERVICIO AUTOMOTRIZ EXITO LA SELVA,MOBIL,CARRERA 4 CON CALLE 23,BIODIESEL EXTRA,8910,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
23,TOLIMA,990,ALVARADO,EDS TERPEL LA PASTORA,TERPEL,VEREDA EL HATICO TAMARINDO LOTE 2,GASOLINA CORRIENTE OXIGENADA,9353,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
1,ANTIOQUIA,78,EL BAGRE,GASOLINERA NO HAY COMO DIOS,TEXACO,CALLE EL PUERTO LA PUNTA PUERTO CLAVER,BIODIESEL EXTRA,9639,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
2,ATLANTICO,178,SOLEDAD,ESTACION DE SERVICIO SUPER STATION COOTRASOL,PETROMIL,Carrera 7 Sur No.19-04,GASOLINA EXTRA OXIGENADA,11060,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
2,ATLANTICO,163,GALAPA,ESTACION DE SERVICIO COOTRAGAL,TEXACO,CALLE 6 No. 22-09,BIODIESEL EXTRA,8820,A,07/04/2019 12:00:00 AM,07/01/2019 12:00:00 AM
3,BOGOTA D.C.,182,"BOGOTA, D.C.",ESTACION DE SERVICIO TEXACO AVENIDA TERCERA,TEXACO,AVENIDA CARRERA 30 No 4-51,BIODIESEL EXTRA,9160,A,07/05/2019 12:00:00 AM,07/01/2019 12:00:00 AM
21,SANTANDER,930,OCAMONTE,ESTACION DE SERVICIO COOTRASARAVITA-OCAMONTE,TERPEL,kilometrom 1 via ocamonte san gil,BIODIESEL EXTRA,8770,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
17,NARIÑO,746,PASTO,SERVICENTRO PANAMERICANA,MOBIL,Calle 20 No. 44A-70,ACPM - DIESEL,9490,A,07/27/2019 12:00:00 AM,07/01/2019 12:00:00 AM
23,TOLIMA,988,IBAGUE,ESTACION DE SERVICIO TERPEL -  LA AMONITA,TERPEL,KILOMETRO 1 ANTES CRUCE PAYANDE,GASOLINA EXTRA OXIGENADA,11780,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
2,ATLANTICO,178,SOLEDAD,ESTACION DE SERVICIO AUTOMOTRIZ SERVICENTRO ESSO CIRCUNVALAR,MOBIL,CARRERA 27C No. 58-39,BIODIESEL EXTRA,9010,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
22,SUCRE,971,GUARANDA,ESTACION DE SERVICIO TEXAS DE GUARANDA,TERPEL,CARRERA 10 No. 4-61 SALIDA A MAJAGUAL,GASOLINA CORRIENTE OXIGENADA,9600,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
11,CUNDINAMARCA,508,COGUA,ESTACION DE SERVICIO EL OLIVO,PETROBRAS,Kilometro 7 vía Zipaquira - Ubate,GASOLINA CORRIENTE OXIGENADA,9730,A,07/04/2019 12:00:00 AM,07/01/2019 12:00:00 AM
24,VALLE DEL CAUCA,1074,YOTOCO,ESTACION DE SERVICIOS COLOMBA - YOTOCO,BIOMAX,VIA PANORAMA SENTIDO YUMBO - BUGA 600 METROS ANTES DEL PEAJE MEDIACANOA,GASOLINA CORRIENTE OXIGENADA,9299,A,07/17/2019 12:00:00 AM,07/01/2019 12:00:00 AM
4,BOLIVAR,183,CARTAGENA DE INDIAS,ESTACION DE SERVICIO DISTRACOM LA CANDELARIA,MOBIL,CARRERA 32 No. 29-210,GASOLINA EXTRA OXIGENADA,12270,A,07/03/2019 12:00:00 AM,07/01/2019 12:00:00 AM
1,ANTIOQUIA,92,ITAGUI,ESTACION DE SERVICIOS DISTRACOM LA INDEPENDENCIA,MOBIL,CALLE 37B No.43-31,GASOLINA CORRIENTE OXIGENADA,9145,A,07/05/2019 12:00:00 AM,07/01/2019 12:00:00 AM
11,CUNDINAMARCA,546,MOSQUERA,EDS AUTOGAS CRUCE MOSQUERA,MOBIL,CALLE 3 No. 4-40 46 ESTE,BIODIESEL EXTRA,8740,A,07/30/2019 12:00:00 AM,07/01/2019 12:00:00 AM
3,BOGOTA D.C.,182,"BOGOTA, D.C.",ESTACION DE SERVICIO GNVERDE CARACAS 41 S,BIOMAX,CARRERA 14 No. 38-92 SUR,GASOLINA CORRIENTE OXIGENADA,9349,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
3,BOGOTA D.C.,182,"BOGOTA, D.C.",ESTACION DE SERVICIO TERPEL VILLA ALZACIA,TERPEL,CALLE 12 B No. 71 D - 81,BIODIESEL EXTRA,8780,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
3,BOGOTA D.C.,182,"BOGOTA, D.C.",EDS ESPIRITU SANTO,TERPEL,CALLE  22 SUR No. 12 B-94,GASOLINA CORRIENTE OXIGENADA,9152,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
1,ANTIOQUIA,80,ENVIGADO,ESTACION DE SERVICIO TEXACO ESTRELLA DE ORIENTE,TEXACO,Km 14 Vte Las Palmas,BIODIESEL EXTRA,9677,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
1,ANTIOQUIA,34,MEDELLIN,EDS EL VOLADOR,TERPEL,CALLE 71 No. 66-82,GASOLINA CORRIENTE OXIGENADA,12760,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
11,CUNDINAMARCA,504,CHIA,EDS AUTOMOTRIZ PETROBRAS RETORNO,PETROBRAS,Autopista Norte Kilómetro 11 Vía SOPO,BIODIESEL EXTRA,9249,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
6,CALDAS,358,LA DORADA,ESTACION DE SERVICIO LA ALHAMBRA GUARINOCITO,TERPEL,CALLE 7 No. 5-12 GUARINOCITO,BIODIESEL EXTRA,8787,A,07/03/2019 12:00:00 AM,07/01/2019 12:00:00 AM
14,LA GUAJIRA,686,VILLANUEVA,ESTACION DE SERVICIO EL FULL LIMITADA,AYATAWACOOP,KM 6 CARRETERA NACIONAL VILLANUEVA,BIODIESEL EXTRA,6270,A,07/01/2019 12:00:00 AM,07/01/2019 12:00:00 AM
9,CESAR,435,VALLEDUPAR,ESTACION DE SERVICIO CALLEJAS,TERPEL,TRANSVERSAL 22 Bis No.1-187,GASOLINA CORRIENTE OXIGENADA,9500,A,07/26/2019 12:00:00 AM,07/01/2019 12:00:00 AM
9,CESAR,435,VALLEDUPAR,ESTACION DE SERVICIO CALLEJAS,TERPEL,TRANSVERSAL 22 Bis No.1-187,GASOLINA EXTRA OXIGENADA,10000,A,07/26/2019 12:00:00 AM,07/01/2019 12:00:00 AM
1,ANTIOQUIA,102,MARINILLA,ESTACION DE SERVICIO EL FARO DE LA MARINILLA,TERPEL,CALLE 22 No 47 - 46,GASOLINA EXTRA OXIGENADA,12490,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
11,CUNDINAMARCA,508,COGUA,ESTACION DE SERVICIO TERPEL COGUA,TERPEL,VEREDA LA MARIA MUNICIPIO DE COGUA,GASOLINA CORRIENTE OXIGENADA,9589,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
17,NARIÑO,746,PASTO,SERVICENTRO SUPER,MOBIL,CALLE 12 CARRERA 14 ESQUINA DE PASTO,BIODIESEL EXTRA,7240,A,07/02/2019 12:00:00 AM,07/01/2019 12:00:00 AM
16,META,717,VILLAVICENCIO,ESTACION DE SERVICIO MOBIL LA VORAGINE,MOBIL,Carrera 33 No.32-21,GASOLINA CORRIENTE OXIGENADA,8365,A,07/16/2019 12:00:00 AM,07/01/2019 12:00:00 AM
24,VALLE DEL CAUCA,1072,VERSALLES,ESTACION DE SERVICIO VERSALLES,BIOMAX,CALLE 8 No. 3-14,GASOLINA CORRIENTE OXIGENADA,9968,A,07/11/2019 12:00:00 AM,07/01/2019 12:00:00 AM
3,BOGOTA D.C.,182,"BOGOTA, D.C.",ESTACION DE SERVICIO HERGOS GASOLINA,PETROBRAS,CALLE 73 NO 86 -08,BIODIESEL EXTRA,8870,A,07/05/2019 12:00:00 AM,07/01/2019 12:00:00 AM
17,NARIÑO,808,TUQUERRES,ESTACION DE SERVICIO TUQUERRES,MOBIL,CALLE 21 No. 20-77,BIODIESEL EXTRA,7490,A,07/25/2019 12:00:00 AM,07/01/2019 12:00:00 AM
11,CUNDINAMARCA,524,GIRARDOT,ESTACION DE SERVICIO SUCRE,MOBIL,Carrera 12 No.18-20,BIODIESEL EXTRA,9147,A,07/03/2019 12:00:00 AM,07/01/2019 12:00:00 AM
17,NARIÑO,788,FRANCISCO PIZARRO,ESTACION DE SERVICIO FRANCISCO PIZARRO LTDA,BIOMAX,Salahonda,ACPM - DIESEL,9100,A,07/19/2019 12:00:00 AM,07/01/2019 12:00:00 AM
17,NARIÑO,788,FRANCISCO PIZARRO,COMBUSTILBES PIZARRO,BIOMAX,"Salahonda, Francisco Pizarro Nariño",GASOLINA CORRIENTE OXIGENADA,9050,A,07/19/2019 12:00:00 AM,07/01/2019 12:00:00 AM
9,CESAR,441,CHIMICHAGUA,ESTACION DE SERVICIO KIARA,ZEUSS,CALLE 5 CARRERA 12,BIODIESEL EXTRA,9600,A,07/12/2019 12:00:00 AM,07/01/2019 12:00:00 AM
13,HUILA,652,LA PLATA,ESTACION DE SERVICIO LA COLORADA,TERPEL,KM 1 VIA NEIVA,GASOLINA CORRIENTE OXIGENADA,10040,A,07/09/2019 12:00:00 AM,07/01/2019 12:00:00 AM
31,GUAVIARE,1134,SAN JOSE DEL GUAVIARE,ESTACION DE SERVICIO LOS COMUNEROS SJG,TERPEL,CRA. 20 N. 27-90,GASOLINA CORRIENTE OXIGENADA,10470,A,07/05/2019 12:00:00 AM,07/01/2019 12:00:00 AM
17,NARIÑO,762,EL CHARCO,ESTACION DE SERVICIO DIVINO NIÑO EL CHARCO,PETRDECOL,VEREDA CAMPO ALEGRE DE EL CHARCO,ACPM - DIESEL,7846,A,07/05/2019 12:00:00 AM,07/01/2019 12:00:00 AM
18,NORTE DE SANTANDER,822,EL CARMEN,ESTACION DE SERVICIO LA VILLANUEVA,COOMULPINORT,KDX 8 VEREDA LA VILLANUEVA CORREGIMIENTO DE GUAMALITO,GASOLINA CORRIENTE OXIGENADA,7200,A,07/05/2019 12:00:00 AM,07/01/2019 12:00:00 AM
1,ANTIOQUIA,76,DON MATIAS,ESTACION DE SERVICIO DISTRACOM VILLA MARIA,TEXACO,CALLE 28 No. 7-29-45-63,GASOLINA CORRIENTE OXIGENADA,9550,A,07/05/2019 12:00:00 AM,07/01/2019 12:00:00 AM
1,ANTIOQUIA,120,SABANETA,ESTACION DE SERVICIO DISTRACOM MARIA AUXILIADORA,MOBIL,CARRERA 45 No 61 SUR - 53,BIODIESEL EXTRA,9200,A,07/05/2019 12:00:00 AM,07/01/2019 12:00:00 AM
15,MAGDALENA,716,ZONA BANANERA,ESTACION DE SERVICIO RIO FRIO,TEXACO,CARR TRONCAL DEL CARIBE CRA 14,GASOLINA CORRIENTE OXIGENADA,9750,A,07/05/2019 12:00:00 AM,07/01/2019 12:00:00 AM
12,CHOCO,613,EL CANTON DEL SAN PABLO,EDS SAN PABLO,BIOMAX,MANAGRO BARRIO SERPA URIBE SECTOR LA PLAYA,BIODIESEL EXTRA,9700,A,07/03/2019 12:00:00 AM,07/01/2019 12:00:00 AM
17,NARIÑO,805,TAMINANGO,SERVICENTRO REMOLINO R S.A.S,MOBIL,KILOMETRO 88 PANAMERICANA NORTE CORREGIMIENTO REMOLINO,BIODIESEL EXTRA,7944,A,07/18/2019 12:00:00 AM,07/01/2019 12:00:00 AM
24,VALLE DEL CAUCA,1035,CALI,ESTACION DE SERVICIO EL CAMBIO  SAS,MOBIL,CALLE 9 No. 41-50,GASOLINA CORRIENTE OXIGENADA,9570,A,07/03/2019 12:00:00 AM,07/01/2019 12:00:00 AM
24,VALLE DEL CAUCA,1035,CALI,ESTACION DE SERVICIO EL CAMBIO  SAS,MOBIL,CALLE 9 No. 41-50,GASOLINA EXTRA OXIGENADA,12490,A,07/03/2019 12:00:00 AM,07/01/2019 12:00:00 AM
